RegistryDate,ExpirationDate,HostCountry,DomainAge,URLType
2008-03-19 18:43:06,2020-10-22 03:59:59,US,4394,0
2004-10-18 00:00:00,2022-10-27 00:00:00,,5643,0
2008-11-29 09:50:23,2023-11-29 09:50:23,JP,4140,0
2010-12-03 12:08:35,2023-12-03 12:08:35,BS,3406,0
2004-06-14 17:25:27,2020-06-14 17:25:27,,5768,0
2001-03-11 21:19:21,2021-03-11 20:19:21,DE,6959,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2012-07-19 22:45:03,2020-07-19 22:45:03,RU,2811,1
2004-11-19 05:50:20,2021-11-19 05:50:20,PA,5611,0
,,,0,0
1998-01-09 05:00:00,2021-01-08 05:00:00,US,8117,0
,,,0,1
2009-12-21 01:20:46,2020-12-21 01:20:46,CN,3753,1
,,,0,0
1996-09-29 04:00:00,2020-09-28 04:00:00,US,8584,0
2013-10-03 03:21:45,2020-10-03 03:21:45,CN,2371,1
2011-04-29 11:29:16,2020-04-29 11:29:16,US,3259,0
,,,0,1
2007-03-28 10:50:10,2021-03-28 10:50:10,,4752,1
,,,0,0
2005-04-28 00:32:00,2021-04-28 00:32:00,US,5451,0
,,,0,1
2001-10-26 06:29:51,2020-10-26 06:29:51,KR,6731,0
2013-01-29 09:58:25,2021-01-29 09:58:25,US,2618,0
2000-01-21 16:28:17,2021-01-21 16:28:17,US,7375,0
,,,0,0
1997-04-10 04:00:00,2027-04-11 04:00:00,IN,8391,0
,,,0,1
2005-04-28 00:32:00,2021-04-28 00:32:00,US,5451,0
2005-06-10 22:56:20,2021-06-10 22:56:20,US,5407,0
2019-08-13 04:01:45,2020-08-13 04:01:45,,231,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2008-03-13 11:09:23,2021-03-13 11:09:23,US,4401,1
2013-01-29 09:58:25,2021-01-29 09:58:25,US,2618,0
2020-02-16 21:07:51,2025-02-16 21:07:51,AE,43,1
,2028-06-17 00:00:00,,0,0
2003-08-29 10:57:54,2023-08-29 10:57:54,CN,6059,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
,,,0,1
2009-10-29 02:40:57,2021-10-29 02:40:57,AU,3806,0
,,,0,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2009-02-17 16:08:34,2021-02-17 16:08:34,,4060,1
2012-12-28 14:27:20,2026-12-28 14:27:20,US,2650,0
1999-08-08 04:48:02,2020-08-08 04:47:54,US,7541,0
2009-02-07 19:41:59,2028-02-07 19:41:59,REDACTED FOR PRIVACY,4069,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2014-09-26 19:13:12,2020-09-26 19:13:12,CN,2012,1
,,,0,0
2009-01-21 19:21:42,2023-07-16 03:59:59,US,4086,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
1996-02-11 05:00:00,2022-02-12 05:00:00,KR,8815,0
2005-06-10 22:56:20,2021-06-10 22:56:20,US,5407,0
2012-03-06 20:59:19,2021-03-06 20:59:19,CN,2946,1
1999-05-20 03:06:00,2028-05-20 03:06:36,CA,7621,0
2008-08-02 19:06:27,2020-08-02 19:06:27,PA,4258,0
,,,0,1
2010-04-04 20:54:03,2020-04-04 20:54:03,IL,3648,0
2008-07-14 20:00:00,2020-07-14 21:00:00,,4277,0
2006-11-10 16:09:39,2020-11-10 16:09:39,,4890,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
,,,0,0
,,,0,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2006-11-01 23:03:24,2028-11-17 23:39:45,US,4898,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2004-09-08 16:04:52,2020-09-08 16:04:52,US,5683,0
,,,0,0
2001-10-21 19:11:37,2020-10-21 19:11:37,US,6735,0
2015-02-12 00:00:00,2021-02-12 00:00:00,,1874,0
2011-04-29 11:29:16,2020-04-29 11:29:16,US,3259,0
,,,0,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
,,,0,1
1999-10-27 13:00:00,2020-10-26 14:00:00,,7461,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2003-10-12 22:23:19,2021-10-12 22:23:19,US,6014,1
,,,0,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2020-02-16 21:07:51,2025-02-16 21:07:51,AE,43,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2004-06-20 18:57:38,2020-06-20 18:57:38,US,5762,0
2013-02-25 11:05:01,2021-02-25 11:05:01,IN,2591,1
2012-03-06 20:59:19,2021-03-06 20:59:19,CN,2946,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
,,,0,1
,,,0,0
2011-02-09 20:53:37,2021-02-09 20:53:37,US,3337,0
,,,0,0
2013-02-27 09:47:42,2021-02-27 09:47:41,,2589,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2012-03-06 20:59:19,2021-03-06 20:59:19,CN,2946,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
1995-11-01 05:00:00,2021-02-02 11:59:59,US,8917,0
2012-05-10 00:27:37,2020-05-10 00:27:37,JP,2882,0
,,,0,1
,,,0,0
2014-07-04 07:35:02,2021-07-04 07:35:02,CN,2097,1
1995-11-01 05:00:00,2021-02-02 11:59:59,US,8917,0
1995-03-23 05:00:00,2021-02-07 14:42:01,US,9140,0
,,,0,0
2013-02-27 09:47:42,2021-02-27 09:47:41,,2589,0
2008-08-02 19:06:27,2020-08-02 19:06:27,PA,4258,0
2013-10-21 18:53:58,2024-10-21 18:53:58,US,2352,0
2012-03-06 20:59:19,2021-03-06 20:59:19,CN,2946,1
1999-08-08 04:48:02,2020-08-08 04:47:54,US,7541,0
2010-12-03 12:08:35,2023-12-03 12:08:35,BS,3406,0
1997-06-12 04:00:00,2020-06-11 04:00:00,US,8328,0
,,,0,0
2010-12-03 12:08:35,2023-12-03 12:08:35,BS,3406,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2009-10-22 02:06:38,2022-10-22 02:06:38,REDACTED FOR PRIVACY,3813,1
2020-02-16 21:07:51,2025-02-16 21:07:51,AE,43,1
2020-03-05 20:19:59,2021-03-05 20:19:59,CN,25,1
1999-05-03 20:39:04,2020-05-03 20:37:28,JP,7637,0
,,,0,0
1999-08-08 04:48:02,2020-08-08 04:47:54,US,7541,0
2012-05-10 00:27:37,2020-05-10 00:27:37,JP,2882,0
2012-05-10 00:27:37,2020-05-10 00:27:37,JP,2882,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
1991-07-25 04:00:00,2028-07-24 04:00:00,US,10477,0
2013-12-09 00:00:00,2020-08-31 15:00:00,,2304,0
2013-06-16 02:38:02,2021-06-16 02:38:02,US,2480,1
,,,0,0
2015-06-17 07:55:56,2025-06-17 07:55:56,BS,1749,1
1996-05-01 04:00:00,2021-05-02 04:00:00,US,8735,0
,,,0,0
2000-02-20 16:55:16,2028-12-29 02:29:44,PA,7344,0
1996-02-11 05:00:00,2022-02-12 05:00:00,KR,8815,0
2008-08-02 19:06:27,2020-08-02 19:06:27,PA,4258,0
2010-05-29 02:03:48,2021-05-29 02:03:48,US,3594,0
2004-06-20 18:57:38,2020-06-20 18:57:38,US,5762,0
1998-05-27 04:00:00,2020-05-26 04:00:00,US,7979,0
2013-01-29 09:58:25,2021-01-29 09:58:25,US,2618,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2003-08-29 10:57:54,2023-08-29 10:57:54,CN,6059,1
2020-02-16 21:07:51,2025-02-16 21:07:51,AE,43,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2012-07-19 22:45:03,2020-07-19 22:45:03,RU,2811,1
1993-09-30 04:00:00,2025-09-29 04:00:00,US,9679,0
1999-10-27 13:00:00,2020-10-26 14:00:00,,7461,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
,,,0,0
2013-01-29 09:58:25,2021-01-29 09:58:25,US,2618,0
2014-04-02 02:15:54,2020-04-02 02:15:54,CN,2190,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2000-03-08 21:45:43,2021-03-08 21:45:43,CA,7327,1
2003-08-29 10:57:54,2023-08-29 10:57:54,CN,6059,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2003-08-29 10:57:54,2023-08-29 10:57:54,CN,6059,1
2014-07-05 18:43:20,2021-07-05 18:43:20,US,2095,1
1999-10-27 13:00:00,2020-10-26 14:00:00,,7461,0
2008-07-12 21:44:45,2021-02-23 04:59:59,US,4279,0
2014-09-26 19:13:12,2020-09-26 19:13:12,CN,2012,1
2002-04-21 07:14:49,2020-04-21 07:14:49,CN,6554,1
,,,0,1
,,,0,1
2011-06-21 09:01:50,2020-06-21 09:01:50,DE,3206,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
1996-02-27 00:00:00,2020-12-01 00:00:00,,8799,0
2005-07-19 14:50:34,2026-07-19 14:50:34,US,5369,0
2013-01-29 09:58:25,2021-01-29 09:58:25,US,2618,0
,,,0,0
,,,0,1
2018-04-07 06:41:19,2020-04-07 06:41:19,,724,1
2000-08-24 04:46:13,2020-08-24 04:46:13,US,7159,0
2016-01-04 11:26:32,2021-01-04 11:26:32,US,1548,1
2004-07-23 22:24:10,2020-07-23 22:24:10,ca,5729,0
1998-09-10 04:00:00,2021-09-09 04:00:00,US,7873,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2011-12-14 06:42:17,2020-12-14 06:42:17,CN,3030,1
2015-03-24 07:05:16,2021-03-24 07:05:16,US,1834,0
,,,0,0
2007-11-27 03:49:29,2021-11-27 03:49:29,AU,4508,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2007-11-27 03:49:29,2021-11-27 03:49:29,AU,4508,0
,,,0,0
2004-06-14 17:25:27,2020-06-14 17:25:27,,5768,0
,2028-06-17 00:00:00,,0,0
,,,0,0
2012-03-16 00:00:00,2022-03-16 00:00:00,,2937,1
2015-06-08 06:40:44,2020-06-08 06:40:44,US,1758,1
,,,0,0
2004-06-14 17:25:27,2020-06-14 17:25:27,,5768,0
2004-11-19 05:50:20,2021-11-19 05:50:20,PA,5611,0
2019-04-10 02:25:01,2020-04-10 02:25:01,REDACTED FOR PRIVACY,356,1
,,,0,0
1996-08-30 04:00:00,2024-08-29 04:00:00,US,8614,0
2000-01-21 16:28:17,2021-01-21 16:28:17,US,7375,0
2014-11-03 12:17:56,2021-11-03 12:17:56,US,1975,1
1991-07-25 04:00:00,2028-07-24 04:00:00,US,10477,0
2003-09-11 17:06:56,2020-09-11 17:06:56,IN,6045,1
